level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2483	3508	-1	
2	1	1	0	0	0	246	211	1932	264	-1	
3	1	1	1	0	0	238	207	1940	268	-1	
4	1	1	1	1	0	246	211	1932	136	-1	
5	1	1	1	1	1	246	216	111	111	66.530167	©)
5	1	1	1	1	2	414	228	409	86	93.234627	Edexcel
5	1	1	1	1	3	853	228	653	86	90.386703	International
5	1	1	1	1	4	1528	229	78	84	90.386703	A
5	1	1	1	1	5	1967	211	211	136	49.680424	A.
4	1	1	1	2	0	246	365	956	110	-1	
5	1	1	1	2	1	246	365	265	86	96.664513	Level
5	1	1	1	2	2	540	366	234	103	94.692841	(IAL)
5	1	1	1	2	3	805	365	397	110	95.732803	Biology
2	1	2	0	0	0	244	587	319	64	-1	
3	1	2	1	0	0	244	587	319	64	-1	
4	1	2	1	1	0	244	587	319	64	-1	
5	1	2	1	1	1	244	587	319	64	96.526543	Proteins
2	1	3	0	0	0	241	754	243	44	-1	
3	1	3	1	0	0	241	754	243	44	-1	
4	1	3	1	1	0	241	754	243	44	-1	
5	1	3	1	1	1	241	754	243	44	96.267914	Contents
2	1	4	0	0	0	238	856	1261	234	-1	
3	1	4	1	0	0	238	856	886	47	-1	
4	1	4	1	1	0	238	856	886	47	-1	
5	1	4	1	1	1	238	856	46	47	37.250549	3%
5	1	4	1	1	2	313	863	124	31	94.546173	Amino
5	1	4	1	1	3	448	862	118	37	94.546173	Acids,
5	1	4	1	1	4	581	863	159	31	92.802979	Proteins
5	1	4	1	1	5	752	862	26	32	92.802979	&
5	1	4	1	1	6	791	863	137	31	96.177231	Protein
5	1	4	1	1	7	941	862	183	32	96.788429	Structure
3	1	4	2	0	0	238	919	750	46	-1	
4	1	4	2	1	0	238	919	750	46	-1	
5	1	4	2	1	1	238	919	46	46	5.344172	«
5	1	4	2	1	2	316	925	182	40	94.563591	Enzymes:
5	1	4	2	1	3	513	924	104	32	91.778839	Roles
5	1	4	2	1	4	629	924	26	32	91.778839	&
5	1	4	2	1	5	669	924	132	32	95.174957	Modes
5	1	4	2	1	6	813	924	39	32	95.174957	of
5	1	4	2	1	7	862	925	126	31	96.009293	Action
3	1	4	3	0	0	238	981	1261	109	-1	
4	1	4	3	1	0	238	981	1261	47	-1	
5	1	4	3	1	1	238	981	46	47	56.548203	%€
5	1	4	3	1	2	315	987	96	32	63.641273	Core
5	1	4	3	1	3	424	987	168	32	63.641273	Practical
5	1	4	3	1	4	604	988	33	31	93.554291	4:
5	1	4	3	1	5	652	988	253	40	95.982880	Investigating
5	1	4	3	1	6	916	987	63	32	96.290001	the
5	1	4	3	1	7	992	988	87	31	96.876968	Rate
5	1	4	3	1	8	1090	987	40	32	96.608147	of
5	1	4	3	1	9	1142	988	150	40	96.194603	Enzyme
5	1	4	3	1	10	1305	988	194	31	96.151474	Reactions
4	1	4	3	2	0	238	1044	817	46	-1	
5	1	4	3	2	1	238	1044	46	46	2.953672	%«
5	1	4	3	2	2	316	1049	249	37	96.677536	Nucleotides,
5	1	4	3	2	3	580	1050	85	31	92.613983	DNA
5	1	4	3	2	4	675	1049	27	32	92.613983	&
5	1	4	3	2	5	715	1049	90	37	95.825134	RNA,
5	1	4	3	2	6	819	1050	95	31	95.977966	Base
5	1	4	3	2	7	927	1050	128	40	96.838196	Pairing
2	1	5	0	0	0	201	3226	2077	82	-1	
3	1	5	1	0	0	201	3226	2077	82	-1	
4	1	5	1	1	0	201	3226	2077	82	-1	
5	1	5	1	1	1	201	3226	49	82	96.968155	4
5	1	5	1	1	2	262	3248	310	47	91.673691	SaveMyExams
5	1	5	1	1	3	726	3254	28	27	95.855644	©
5	1	5	1	1	4	767	3254	82	27	95.855644	2026
5	1	5	1	1	5	863	3254	77	27	96.597008	Save
5	1	5	1	1	6	956	3254	48	36	96.810593	My
5	1	5	1	1	7	1018	3254	117	32	94.756958	Exams,
5	1	5	1	1	8	1151	3253	59	28	94.756958	Ltd.
5	1	5	1	1	9	1251	3248	21	50	69.631943	|
5	1	5	1	1	10	1285	3254	59	27	81.838760	Get
5	1	5	1	1	11	1357	3261	89	20	96.037933	more
5	1	5	1	1	12	1459	3252	62	29	96.422173	and
5	1	5	1	1	13	1536	3261	56	20	95.806038	ace
5	1	5	1	1	14	1604	3261	79	29	96.951309	your
5	1	5	1	1	15	1696	3261	110	20	95.745010	exams
5	1	5	1	1	16	1819	3256	32	25	91.198570	at
5	1	5	1	1	17	1863	3261	326	29	91.198570	savemyexams.com
5	1	5	1	1	18	2265	3254	13	27	59.017986	1
